id,question,image,option_a,option_b,option_c,option_d,correct_answer,explanation
11432,"When performing a pre-trip inspection, you should make sure that:",,The pedal surface has been smoothed out.,The gas pedal sticks.,Nothing is obstrucing the pedals.,There is something underneath the brake pedal.,C,"When checking your vehicle's pedals during a pre-trip inspection, you should ensure that there is nothing under or around the pedals that will obstruct their use. Make sure the pedals are in proper working condition and that the surfaces of the pedals are grooved, if applicable."
9316,The overhead rearview mirror is located:,,On the outside left of the bus.,On the outside right of the bus.,Above the windshield inside the bus.,,C,"In a school bus, the overhead rearview mirror is mounted directly above the windshield on the driver’s side."
9174,"If a bus has a restroom, the restroom must include:",,An emergency buzzer.,A window.,Two exits.,Paper towels.,A,The restroom on a bus must be equipped with an emergency buzzer.
9160,The overhead inside rearview mirror:,,Allows the driver to see what is happening inside of the bus.,Allows the driver to see what is happening outside of the bus.,Monitors traffic.,Opens and closes the door.,A,"In a school bus, the overhead inside rearview mirror is used to monitor passenger activity inside the bus."
9378,"At railroad crossings, bus drivers:",,Do not need to stop.,"Do not need to stop, but must reduce their speed to 25 mph below the posted speed limit.","Do not need to stop, but must open the door to listen for trains.",Must stop and check for any approaching trains.,D,"When approaching a railroad crossing while driving a bus, you must stop between 15 and 50 feet from the nearest track to look and listen for any approaching trains. Only proceed once you are certain that there are no approaching trains. You do not need to stop at streetcar crossings; if a police officer or flagger is directing traffic; if there is a green traffic signal at the crossing; or at crossings marked ""exempt"" or ""abandoned."""
9377,Buses must never carry ____ in the space occupied by passengers.,,Small arms ammunition,An oxygen tank,Radioactive materials,Passengers who are drunk,C,Buses must never carry labeled radioactive materials in the area occupied by passengers.
9203,Which of the following is likely to result in the most student deaths per year?,,Students loading and unloading a school bus,Accidents involving drunk drivers,Accidents involving negligence,Accidents in which drivers ignore traffic signals or signs,A,More students are killed each year while getting on or off school buses than while riding as passengers on board school buses.
8855,When passengers ride a bus:,,Leaving items in the aisle is acceptable.,Leaving items in the aisle is acceptable while everyone is seated.,There should be no obstacles in the aisle.,An item may be left in the aisle if there is an orange cone beside it.,C,Do not allow passengers to leave any items in an aisle while the bus is moving. Aisles and stairwells should always be free of obstructions.
9170,Before driving a bus that has been left unattended:,,The vehicle should be thoroughly washed.,Air should be removed from tires.,The interior should be checked for damage.,The driver should look for any animals that may have gotten onboard.,C,"People sometimes damage unattended buses. When inspecting a bus that has been left unattended, you should do a walkthrough to check the interior for damage."
9166,"Before driving a bus, you must:",,Review its most recent inspection report.,Wash the outside.,Clean the interior.,Count the seats.,A,A bus must always be inspected before it is driven. The inspection process must include a review of the inspection report made by the previous driver. You should operate the vehicle only if defects listed on the inspection report have been certified as repaired or as not needing to be repaired.
8854,"Before operating a bus, you should ensure that it is safe by:",,Reviewing the inspection report left by the previous driver.,Kicking the tires.,Asking your supervisor if the bus seems safe.,Asking passengers if they are comfortable.,A,A bus must always be inspected before it is driven. The inspection process must include a review of the inspection report made by the previous driver. You should operate the vehicle only if defects listed on the inspection report have been certified as repaired or as not needing to be repaired.
9714,Buses must never carry:,,Small arms ammunition.,Soft drinks.,Medical supplies.,Tear gas.,D,"While some kinds of hazardous materials may be carried on a bus under certain conditions, tear gas and irritating materials must never be carried. Small arms ammunition labeled ORM-D and emergency medical supplies are permitted."
9180,How many classes of hazardous materials are there?,,One,Three,Six,Nine,D,A hazardous material will be placed into one of nine classes to explain the type of risks associated with the material.
10225,"If a bus has a brake and accelerator interlock system, the system should:",,Be turned off in most situations.,Only be used in inclement weather.,Never be used in place of the parking brake.,Operate the rear door.,C,"Urban transit buses may have a brake and accelerator interlock system, which applies the brakes and holds the throttle in an idle position while the rear door is open. This system should not be used as a substitute for the parking brake."
9192,"If driving a charter bus, a driver should:",,"Tell passengers how to operate the TVs, if equipped.",Not allow passengers to board until the scheduled departure time.,Allow passengers to board early to get ahead of schedule.,Tell passengers to fill the back of the bus first.,B,"To help prevent theft or vandalism, charter bus drivers should not allow passengers to board the vehicle until the scheduled departure time."
9554,The loading of a school bus:,,Is not a dangerous process.,Does not need to be supervised.,Should be done quickly.,Can be dangerous.,D,"More students are killed each year during loading or unloading of school buses than while riding on school buses. Therefore, it is critical that school bus drivers follow appropriate safety procedures during loading and unloading."
9669,"If you miss a student’s stop while bringing students home after school, you should:",,Back up to the stop.,Follow locally established procedures.,Not worry about the student.,Stop quickly and let them exit.,B,"If a school bus driver forgets to stop where a student is meant to unload, the driver should not back up to the stop. Instead, they should follow established local procedures."
9194,"Rules regarding passenger comfort, such as smoking guidelines, should:",,Not be mentioned unless there is a rule violation.,Only be mentioned if a passenger specifically asks about something.,Be announced at the start of the trip.,Be discussed individually with each passenger.,C,"Many charter and intercity carriers have rules about passengers smoking, drinking, and using music players while on the bus. Explaining passenger rules at the start of a trip is often an effective way to avoid trouble later on."
9173,The stairwell of a bus:,,"Can be used to store items, if needed.","Can be used as a seat, if needed.",Should be used to store small items.,Must remain clear at all times.,D,The aisles and stairwell of a bus must be kept clear at all times. Do not let passengers use these areas to store additional baggage.
9198,"In general, a disabled bus with passengers still on board:",,Should be pushed by another bus.,Should not be pushed by another bus.,Should be towed.,Should be abandoned.,B,"A disabled bus with riders on board should not be towed or pushed by another vehicle, unless it would be unsafe for the passengers to exit the bus in the location where it is stranded. If that is the case, the bus may be towed or pushed to a safe location for passengers to exit the bus."
10261,"If a school bus needs to be evacuated, passengers should:",,Always use the rear door.,Always use the windows.,Always use the front door.,Use the exit deemed safest.,D,"If a school bus needs to be evacuated in the event of an emergency, the driver must quickly determine which exit or exits will be safest for students to use and direct the students to that exit."
9202,An outside convex mirror is properly adjusted if:,,The driver can see at least one lane of traffic and the entire side of the bus.,The driver can see the front bumper.,The driver can see the top of the bus.,The driver can see the front windshield.,A,The outside right and left side convex mirrors on a school bus should be positioned so that the driver can see the fronts of the rear tires touching the ground; each side of the bus up to the mirror mounts; and at least one traffic lane on either side of the bus.
9656,"When arriving at a destination, a bus driver should:",,Not communicate with passengers.,Be quiet.,Wait to make announcements until the bus has stopped and passengers are exiting.,Remind exiting passengers to take their belongings.,D,"When arriving at a final destination or intermediate stop, a bus driver should remind passengers to take their belongings with them when exiting the bus. It is best for the driver to make this announcement before the bus comes to a complete stop."
8929,What do outside crossover mirrors allow a driver to see?,,The front bumper,The rear bumper,The right side of the bus,The left side of the bus,A,"Crossover mirrors are used to help a school bus driver see the danger zone area directly in front of the bus, as well as the danger zone areas to the left and right sides of the bus, including the area from the front of the bus to the service door."
9186,Buses should never transport:,,Medical drugs.,Small arms ammunition.,Emergency hospital supplies.,Radioactive materials.,D,"Buses must never transport labeled radioactive materials in the space occupied by people. Small arms ammunition labeled ORM-D, emergency hospital supplies, and medications are allowed."
9175,The driver’s seat of a bus should include:,,A pocket for storage on its left side.,A pocket for storage on its right side.,A seat belt.,A cup holder.,C,"The driver's seat on a bus must be equipped with a seat belt, which the driver should always use."
10984,When planning to drive a bus that has been parked for a few days:,,The driver should assume the interior is in good working order.,The driver should call the local police department.,The driver should do a walkthrough inspection to ensure no damage has occurred since the last trip.,The driver should ask the passengers to check the interior of the bus.,C,"People sometimes damage unattended buses. Before driving a bus that has been unattended, you should check the interior to confirm that everything is in proper condition."
9176,Carry-on luggage should be:,,Stored in the aisle.,Kept on the laps of the passengers.,Kept near the doorway.,Secured in a way that allows the driver to move freely and easily.,D,"On a bus, all baggage and freight must be stored in a manner that allows the driver to move freely and easily; allows riders to exit by any window or door in the event of an emergency; and protects riders from injury if the items fall or shift."
8857,"Many carriers have passenger and safety rules. To avoid issues with passengers reacting to these rules, you should:",,Not transport any passengers.,Not have passengers sit next to each other.,Have passengers who may want to smoke sit next to each other.,Explain the rules at the start of the trip.,D,"Many charter and intercity carriers have rules about passengers smoking, drinking, and using music players while on the bus. Explaining passenger rules at the start of a trip is often an effective way to avoid trouble later on."
9136,An emergency roof hatch:,,Must always be locked down before traveling.,May be left partially open while traveling to allow for the movement of fresh air.,"Should never be opened, except in an emergency.",Should always be open while traveling.,B,"While emergency roof hatches on buses may be locked in partially-open positions to allow for the movement of fresh air, do not leave them open as a regular practice. It is important to remember that having a hatch open gives the bus a slightly higher clearance."
9167,One reason for you to sign a previous driver’s vehicle inspection report is if:,,The previous driver dated their entry.,Reported defects are certified to have been repaired.,You plan to drive for longer than one hour or travel farther than 50 miles.,The report is left on the dashboard.,B,You should only sign a previous inspection report if defects were either noted and certified to have been repaired or if repairs were not needed.
9171,The emergency exit door:,,Can be opened if the bus becomes too hot while being driven.,Can be opened while the bus is being driven if the bus is carrying cargo.,Can be opened to provide a better view while the bus is being backed.,Should never be open while the bus is being driven.,D,Check all emergency exits before operating a bus. Never drive a bus with an open emergency exit door or window.
9200,When should you inspect the mirrors on a bus?,,Before operating the bus,While operating the bus,After operating the bus,Is not necessary to inspect the mirrors.,A,The mirrors of a bus should always be inspected before a trip. Adjust them as necessary before beginning to drive.
11495,"When completing a conventional parallel parking maneuver, you should:",,"Back up past the parking space, then pull forward into it.","Pull forward past the parking space, then back into it.",Pull forward directly into the parking space.,,B,You may be asked to complete a conventional parallel parking maneuver into a parking space that is to the right of your vehicle. You should drive past the parking space before backing into it while bringing the rear of your vehicle as close to the rear of the space as possible. Your vehicle should be completely within the boundaries of the space.
9617,"If students on the bus cause a disturbance while other students are unloading, what should you do?",,Immediately walk to the back of the bus and take care of the disturbance while students unload.,Wait until the students are done unloading and then take care of the disturbance.,Have a student who is closer to the disturbance handle the situation while you supervise unloading.,,B,"The process of loading or unloading students from a school bus requires a driver's full concentration. If there is a behavioral issue on the bus, wait until the exiting students are safely off the bus and out of the way before you address the problem on the bus."
11279,Adjust a bus's mirrors:,,Before operating the bus.,While operating the bus.,At the first stoplight after starting your shift.,,A,The adjustment of mirrors should be checked prior to the start of any trip.
8751,Pre-trip inspections should be done:,,Differently each time in order to place emphasis on different items.,The same way each time to prevent you from forgetting anything.,Once in a while.,,B,A pre-trip inspection should be completed in the same way before every drive. Consistency will help you learn all of the proper steps and decrease the likelihood that you will forget to check something.
9901,Students loading and unloading a bus:,,Is simple and does not need to be supervised.,Can be dangerous and should be supervised.,May be done without the bus driver present.,,B,"More students are killed each year during loading or unloading of school buses than while riding on school buses. Therefore, it is critical that school bus drivers follow appropriate safety procedures during loading and unloading. This process should never take place without being properly supervised."
8745,If your vehicle's ABS is malfunctioning:,,You will not have any working brakes.,You will still have brakes.,You should only use the parking brake.,,B,"Anti-lock brakes are meant to keep a vehicle's wheels from locking up during hard applications. If your vehicle's Anti-Lock Braking System (ABS) malfunctions, its standard braking functions should still be in place. You should continue to drive and brake in a normal manner."
8725,"When stopping to pick up students, be sure to park at least 10 feet away from the students because:",,You will have a good view of their movements.,It will be difficult to get any closer to the students.,Students should walk for exercise.,,A,"When picking up passengers, a school bus driver should park with the vehicle's front bumper at least 10 feet away from the students. This is the safest parking option because it forces the students to walk to the bus, making it possible for the driver to watch their movements."
11503,"If you come to railroad tracks while driving a school bus, you should generally:",,"Check the tracks, but continue driving without stopping.",Stop 15 to 50 feet before the nearest rail.,Stop 75 feet before the nearest rail.,,B,"In general, school bus drivers should stop before any railroad crossings to check the tracks for approaching trains. Drivers should stop no closer than 15 feet and no farther than 50 feet from the nearest rail in order to have the best view of the tracks. They should look and listen for approaching trains before proceeding through the crossing."
9899,"Doors should be closed while a school bus is being driven, except when:",,Crossing railroad tracks.,Needing to cool off the inside of the vehicle.,There is no vehicle next to the bus.,,A,"The doors of a school bus must be kept closed any time the bus is moving, except when it is crossing railroad tracks."
11342,"If you are taking the driving test and the route does not include a railroad crossing, you:",,Will not have to do anything related to a crossing.,May have to explain how you would cross railroad tracks.,Will have to take a different route.,,B,"During the on-road driving test, if your route does not include a railroad crossing, the examiner may ask you to explain and demonstrate the necessary procedures at a simulated location."
9315,"When operating a school bus, mirrors should be adjusted:",,During the drive.,Before beginning to drive.,After the drive is completed.,,B,It is critical to the safe operation of a school bus that mirrors be properly adjusted. Always check each mirror before operating the bus.
9616,"If a gate controlling a railroad crossing does not go back up after a train passes, you should:",,Drive around the gate.,Wait for another vehicle to cross the tracks first to see if it is safe.,Call your dispatcher.,,C,"If you are stopped at a railroad crossing and a gate fails to return to its open position after a train passes, call your dispatcher. Do not attempt to drive around the lowered gate."
11491,"When exiting a vehicle, it is important to maintain ____ with your vehicle at all times.",,Three points of contact,Four points of contact,Two points of contact,,A,"As you exit your vehicle during the basic vehicle control skills test, you must face the vehicle and maintain three points of contact at all times. If your testing vehicle is a bus, you must maintain contact with the handrail. Exiting the vehicle incorrectly may result in automatic failure of the basic control skills test."
9618,"If you must drive in reverse at a student pick-up point, you should:",,Back up before the students board the bus.,Back up after the students board the bus.,Back up while students direct you.,,B,"Backing in a school bus is strongly discouraged and should be done only if there is no other safe way to move the vehicle. If you must drive in reverse at a student pick-up point, you should wait until all students have first loaded the bus."
8735,"Before evacuating a bus in response to a hazard, a driver should:",,Ask the students if they want to leave.,Explain the situation to the dispatcher.,Take their time deciding if an evacuation is necessary.,,B,"If time permits, before deciding to evacuate a school bus, the driver should contact their dispatcher to explain the situation. The decision to evacuate must be a timely one."
11281,"When students board a school bus, the driver should:",,Read a book.,Check all mirrors.,Only look at the students.,,B,"While students are boarding a school bus, the driver should supervise the loading while watching all mirrors for any students running to catch the bus."
8727,"When boarding a school bus, students should:",,Be in a single-file line.,Be in pairs.,Not use the handrail.,,A,"Students should board a school bus slowly and in a single-file line. For safety, boarding students should use the handrail."
8740,A passive railroad crossing:,,Has a control device.,Does not have any control devices.,Should be avoided.,,B,Railroad crossings that do not display any traffic control devices are known as passive crossings. The decision to proceed across tracks at a passive crossing is entirely up to the driver.
8734,"A post-trip inspection should include all of the following, except:",,Looking for articles left on the bus.,Checking for sleeping students.,Opening windows.,,C,"After completing a trip, a school bus driver should do an inspection in which they check for sleeping students; belongings left on the bus; open windows or doors; any mechanical or operational issues with the bus; and damage or vandalism."
9312,"When asked to make a lane change during the driving test, you should:",,"Make the change as soon as the examiner asks, without looking.",Use your turn signal and change lanes when safe.,"Make the lane change as quickly as possible, even if that means cutting off another driver.",,B,"You will be asked to change lanes during the on-road driving test. When the examiner asks you to do this, you should make the necessary traffic checks and use the proper signals before changing lanes."
8722,The overhead inside rearview mirror should be positioned to show:,,The rear tires.,All of the students on the bus.,The floor of the bus.,,B,"The top portion of the overhead inside rearview mirror should be positioned to display the top of the bus's rear window. This mirror positioning should allow the driver to see all of the students on the bus, including the heads of the students sitting immediately behind the driver."
9164,"When stopping to pick up students, a bus driver should:",,Place the vehicle in park.,Place the vehicle in first gear.,Place the vehicle in reverse.,Place the vehicle in third gear.,A,"When stopping to pick up students, a school bus should be put in park. If the transmission does not have a park shift point, the vehicle should instead be placed in neutral."
11388,What happens if a driver exceeds the number of permitted looks during any particular exercise?,,They must restart the exercise.,They will automatically fail the basic vehicle control skills test.,They will fail only that particular exercise.,Three points will be marked against their test score.,B,"During the basic vehicle control skills test exercises, a driver may leave their seated position and check the positioning of their vehicle. Using such a look more than two times during any exercise (except the straight line backing exercise) will result in an automatic failure of the skills test. Using such a look more than once during the straight line backing exercise will result in automatic failure."
10160,What should properly adjusted outside side flat mirrors on a school bus allow the driver to see?,,The sides of the school bus,Under the school bus,The front tires touching the ground,Vehicles in front of the bus,A,"When properly adjusted, the outside side flat mirrors on a school bus should allow the driver to see along the sides of the bus; the rear tires touching the ground; and 200 feet behind the bus."
11387,"During exercises that are not the straight line backing exercise, you may exit your vehicle to check its position no more than:",,One time.,Two times.,Three times.,Four times.,B,"A driver is allowed to exit their vehicle to check its position during any basic control skills test exercise. This action is called a ""look."" During the straight line backing exercise, a driver may not exceed one look. During any other exercise, a driver may not exceed two looks."
10548,An active railroad crossing:,,Has a traffic control device installed at the crossing.,Does not have any traffic control devices installed at the crossing.,Is characterized by having at least 10 vehicles cross the tracks every hour.,Should be avoided.,A,"Active railroad crossings use installed traffic control devices to regulate traffic. These devices can be in the form of flashing red lights, warning bells, and/or gates. The directions of devices controlling railroad crossings must always be followed."
9183,Buses may carry:,,Small arms ammunition.,Corrosive materials.,Poison gas.,Explosives other than small arms ammunition.,A,"Small arms ammunition labeled ORM-D, emergency hospital supplies, and drugs are permitted to be transported by bus. Most other kinds of hazardous materials may not be carried on buses."
9023,"During a vehicle inspection, be sure that:",,The emergency exits are difficult to open.,The emergency exit warning devices work properly.,The emergency exits squeak.,The emergency exits are not accessible from inside the cab.,B,"During the vehicle inspection test, you must ensure that any emergency exit warning devices are working. All emergency exits should operate smoothly, be undamaged, and close securely from the inside."
9028,"During the straight line backing exercise, how many times are you permitted to exit the vehicle to check its position?",,One time,Two times,Three times,Four times,A,"During the straight line backing exercise, you are permitted to exit your vehicle to check its position no more than one time."
9008,"When asked about the vehicle's oil during the vehicle inspection test, you must be able to do all of the following, except:",,Indicate where the dipstick is located.,Show that the oil level is within a safe operating range.,Show that the oil level is above the refill mark.,Show that the oil level is below the refill mark.,D,"During the vehicle inspection test, you must be able to indicate where the oil dipstick is located; show that the oil level is within a safe operating range; and show that the oil level is above the refill mark."
9208,"If a driver cannot account for a student after the student has exited the bus, the driver should:",,Secure and leave the bus to look for the student.,Assume the student has safely exited the bus.,Walk to the back of the bus to see if the student got back on.,Ask another student if they've seen the student.,A,"During unloading, if a school bus driver cannot account for a student outside of the bus, they should secure the bus and check for the missing student around and underneath the bus."
10757,A posted speed limit that is safe for cars:,,Is usually safe to be driven by buses.,May be too fast for a bus.,May be too slow for a bus.,Should be thought of as the minimum speed limit.,B,"Posted speed limits on roadways, especially through turns and curves, may be safe for cars but too fast for buses. Drivers of large vehicles should be aware of how fast their vehicle can safely be driven."
10721,Before driving a bus that has been parked for a few days:,,The driver should assume the interior is in good working order.,The driver should call the local police department.,The driver should complete a walkthrough inspection.,The driver should ask the passengers to check the interior of the bus.,C,"People sometimes damage unattended buses, so before driving a bus that has been idle, you should complete a walkthrough of the interior to ensure that it will be safe for riders."
11481,"When inspecting the interior of a bus, you should:",,Loosen every seat.,Check every handhold.,Assume all buzzers work properly.,Remove the emergency exit handles.,B,"When inspecting the interior of a bus, you must make sure everything is safe and in proper working condition. Take the time to ensure every handhold and railing is securely in place and safe to use."
10165,"If equipped with flashing lights, how far in advance of a school bus stop should the bus's lights be activated?",,At least 50 feet,At least 100 feet,At least 200 feet,"At least 1,000 feet",C,"If a school bus is equipped with alternating flashing amber warning lights, they should be activated at least 200 feet before a stop, unless state law requires otherwise."
9021,"If equipped, a header board should:",,Be damaged.,Be loose.,Be strong enough to contain cargo.,Light up when the engine is started.,C,"When checking a header board during the vehicle inspection test, you should ensure that it is secure, free of damage, and strong enough to contain cargo."
9667,About how many seconds in advance of a bus stop should warning lights be activated?,,One to two seconds,Two to four seconds,Five to ten seconds,45 seconds,C,"If a school bus is equipped with alternating amber warning lights, they must be activated at least 200 feet, or about five to ten seconds, before the stop."
10635,"If a student drops an item while approaching the bus, the student should:",,Stop and pick up the object.,Have another student pick up the object.,Ask the driver to pick up the object.,Just leave the item alone and walk away.,C,"It is dangerous for students to retrieve dropped items because doing so could cause them to disappear from the driver's view at a crucial moment. If an item is dropped, the student should get out of the bus's danger zones, get the attention of the driver, and ask the driver to retrieve the item."
11094,The boarding of passengers onto a school bus:,,Is never a dangerous process.,Should not be supervised.,Is simple.,Can be dangerous.,D,"More students are killed each year during loading or unloading of school buses than while riding on school buses. Therefore, it is critical that school bus drivers follow appropriate safety procedures during loading and unloading. The process must be properly supervised and done with care."
10647,Where are danger zones of a school bus located?,,In the front of the bus,To the sides of the bus,"To the front, rear, and sides of the bus",On top of the bus,C,"The danger zones of a school bus are areas in which children are most likely to be hit, either by another vehicle or by the bus itself. Such areas are located to the front, sides, and rear of a bus."
8858,"When approaching a drawbridge that is controlled by a traffic signal, you may proceed:",,If the signal is green.,Only after coming to a complete stop 50 feet before the bridge.,Only if other vehicles are also proceeding.,Only after getting out of your vehicle to check the conditions.,A,"If approaching a drawbridge that is controlled by a traffic signal displaying a green light, you may slow down and proceed without stopping."
9190,"When arriving at a destination, it is best to remind exiting passengers to take their carry-on bags with them:",,Before you stop the bus.,After you stop the bus.,At least five times.,As they exit the bus.,A,"Before a bus is brought to a complete stop at its destination, it is best for the driver to remind exiting passengers to take their carry-ons with them."
9017,What should be used to check for proper tire inflation?,,A tire gauge,A tire iron,An air compressor,A lug nut,A,"During the vehicle inspection test, you must use a tire gauge to check for proper tire inflation. You will not receive passing credit if you simply kick the tires."
10648,Properly adjusted mirrors on a school bus allow the driver to see ____ behind the bus.,,50 feet,100 feet,200 feet,"1,000 feet",C,"Proper mirror adjustment is vital to the safe operation of a school bus. A bus's flat mirrors should be adjusted so the driver is able to see 200 feet, or four bus lengths, behind the bus."
9025,"When checking the air and electrical lines during a vehicle inspection, all of the following should be true, except:",,The air hoses are making a hissing noise.,The air hoses and electrical lines are not cut.,The air lines are not pinched.,The air lines are not dragging against tractor parts.,A,"When examining the air and electrical lines as part of your vehicle inspection test, you must listen for leaks. Ensure that the air hoses and electrical lines are not cut, chafed, spliced, or worn. Make sure air and electrical lines are not tangled, pinched, or dragging against tractor parts."
9154,A blind spot extends at least ____ behind a school bus.,,10 feet,50 feet,100 feet,"1,000 feet",B,"A school bus has blind spots immediately below the side flat mirrors, immediately in front of the side flat mirrors, and directly behind the rear bumper. Rear blind spots typically extend 50 to 150 feet behind a bus but can sometimes extend up to 400 feet, depending on the length of the vehicle."
9012,Which of the following is not acceptable emergency equipment?,,Three red reflective triangles,Six fuses,Three liquid burning flares,Four yellow squares,D,"During the vehicle inspection test, you will need to show emergency equipment, including spare electrical fuses; three red reflective triangles, six fuses, or three liquid burning flares; and a properly charged and rated fire extinguisher."
9409,"When approaching a curve during the on-road driving test, you must do all of the following, except:",,Check traffic thoroughly in all directions.,Reduce your speed before entering the curve.,Keep your vehicle in its lane.,Steadily use the brakes throughout the curve.,D,"When approaching a curve during the on-road driving test, you should thoroughly check traffic in all directions. Before entering the curve, reduce your speed sufficiently so that further braking or shifting is not required. Keep your vehicle in its lane and continue checking traffic in all directions."
9044,"After traveling under an overpass during the driving skills test, you may be asked to recall:",,The posted clearance.,The posted weight limit.,The width of the opening.,If there was a shoulder near the roadway.,A,"If you drive under an overpass during the on-road driving skills test, your examiner may ask you to recall the posted clearance or height of the overpass."
9043,"If driving a school bus, your four-way flashers should:",,Be activated before crossing railroad tracks.,Never be used.,Only be used after crossing railroad tracks.,Only be used near railroad tracks if a train is approaching.,A,"When driving a school bus, you must activate your four-way flashers while approaching and crossing a railroad crossing. Deactivate the flashers once your entire vehicle has cleared the tracks."
9029,Which of the following is not a backing maneuver that you will be asked to perform during the basic control skills test?,,Straight line backing,Offset back/right,Offset back/left,Blind offset,D,"Backing maneuvers that may be included in the basic vehicle control skills test include straight line backing, offset back/right, offset back/left, driver side parallel parking, conventional parallel parking, and alley docking."
11392,"When exiting your vehicle, you:",,Must maintain four points of contact with the vehicle.,May turn to face the road before your exit is complete.,Must be facing away from the vehicle.,Must be facing the vehicle.,D,"When exiting your vehicle during the basic vehicle control skills test, you must face the vehicle and maintain three points of contact at all times. If your testing vehicle is a bus, you must maintain contact with the handrail. Exiting the vehicle incorrectly may result in automatic failure of the basic control skills test."
9039,"When driving through a curve during the skills test, you should:",,Veer from your lane if needed to complete the curve.,Reduce your speed after entering the curve.,Refrain from looking for other vehicles while turning.,Reduce your speed before entering the curve.,D,"When approaching a curve during the on-road driving skills test, you must reduce your speed sufficiently before entering the curve so that you do not need to further brake or shift in the curve. Keep the vehicle in its lane and continue to check for traffic in all directions."
9014,"During the steering box portion of the vehicle inspection test, you should not:",,Ensure that the steering box is securely mounted.,Ensure that the steering box is free of leaks.,Look for missing bolts in the steering box.,Assume all cotter keys are present.,D,"Before a trip, ensure that the steering box is securely mounted. Check for missing nuts, bolts, and cotter keys. Be sure that there are no power steering fluid leaks and that there is no damage to power steering hoses."
9026,When taking the basic vehicle control skills test:,,Points are deducted for each pull-up.,A driver is allowed three pull-ups per maneuver.,A pull-up will earn points only if the driver gets out of the vehicle before pulling up.,Only an excessive number of pull-ups will be counted as errors.,D,"During the basic vehicle control skills test, there is no penalty for an initial pull-up; however, an excessive number of pull-ups will count as errors."
9034,"When entering traffic on an expressway during the skills test, you should:",,Check for traffic.,Not use signals.,Abruptly enter a lane of traffic.,Cut off other drivers if needed.,A,"During the on-road driving skills test, you may be asked to enter an expressway. Before doing so, you must check traffic, use proper signals, and merge smoothly into the proper lane."
9018,The drive shaft should:,,Be bent toward the passenger side.,Be bent toward the driver’s side.,Be bent to one side or the other.,Not be bent.,D,"During the vehicle inspection test, you should check that the drive shaft is not bent or cracked."
8930,The overhead inside mirror should be adjusted to see:,,Outside of the driver’s side of the bus.,All of the students on the bus.,Students in the first four rows of the bus.,In front of the bus.,B,"The top portion of the overhead inside rearview mirror should be positioned to display the top of the bus's rear window. This mirror positioning should allow the driver to see all of the students on the bus, including the heads of the students sitting immediately behind the driver."
9201,There are blind spots ____ left and right side flat mirrors.,,Immediately below,In the middle of,Above,To the left of,A,There are blind spots immediately below and in front of each outside flat mirror. These mirrors have another blind spot directly behind the rear bumper.
8719,Crossover mirrors help the driver see:,,The front bumper danger zones.,The rear bumper.,The left side of the bus.,,A,"Crossover mirrors are used to help a driver see the danger zone area directly in front of a school bus. The mirrors should also display the danger zone areas to the left and right sides of the bus, including the area from the front of the bus to the service door."
8749,Backing a school bus is:,,Strongly encouraged.,Strongly discouraged.,Only to be done in the morning.,,B,"Backing a school bus is strongly discouraged and should only be done if there is no safe alternative. If you must drive in reverse, be sure to follow all proper safety protocol."
11339,"When taking the driving test and asked to make a turn, you should:",,Not use a turn signal since you were told to make the turn.,Check traffic only to your right.,Check traffic in all directions.,,C,"When asked to make a turn during the on-road driving test, you must check traffic in all directions and use your turn signal."
9619,ABS allows a driver to:,,Drive faster.,Maintain control of their vehicle while braking.,See farther ahead of their vehicle.,,B,The purpose of an Anti-Lock Braking System (ABS) is to help prevent wheel lockup and help a driver maintain control of their vehicle when braking on a slippery surface.
9045,"After driving over a bridge during the driving skills test, you may be asked to recall.",,The posted weight limit.,The color of a sign you just passed.,How many lanes of traffic there were on the bridge.,If there was a crosswalk on the bridge.,A,"If you drive over a bridge during the on-road driving skills test, the examiner may ask you afterwards to recall the bridge's posted weight limit."
10306,"At stops, a driver should:",,Leave the bus.,Warn exiting passengers about potential hazards.,Talk with other bus drivers.,,B,"At bus stops, drivers should warn passengers about potential hazards. This may include warning them to watch their step when exiting the bus by way of lowered stairways."
9292,When approaching a drawbridge with a green light:,,You must stop.,You may proceed without stopping.,You must wait for the light to change to yellow.,,B,A bus does not need to stop before crossing a drawbridge controlled by a green signal light. The driver should still slow down and verify that it is safe before crossing.
8619,"If a bus leans toward the outside of a banked curve, the bus is:",,Moving too slowly.,Moving at the proper speed.,Moving too fast.,,C,"A bus driver should always reduce speed when entering a curve. If a bus leans toward the outside of a banked curve, it is moving too fast."
8618,"Before a bus enters a curve, the driver should:",,Increase their speed.,Not change their speed.,Reduce their speed.,,C,Buses should always enter curves at reduced speeds. A driver should be especially cautious if entering a curve under wet or slippery conditions.
9460,The standee line:,,Is a line that passengers should not cross.,Is a line upon which passengers should stand.,Is a line that should be used as passengers exit the bus.,,A,"On a bus designed to carry standing passengers, no passengers may stand in front of the rear of the driver's seat. Any such bus must have a line on the floor, or some other marking, that indicates where passengers may not stand. This is called a standee line."
11312,Roof hatches on buses:,,Must be removed before driving.,Must always be closed when driving.,May be locked in a partially-opened position.,,C,"On a bus, it is acceptable to lock some roof hatches in a partially-opened position to provide fresh air, but this should not be made a regular practice. Remember that opening these hatches will slightly increase a bus's clearance."
